BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,2.27,9.98,23.59,42.64,66.22
45.36,3.63,11.79,26.31,46.72,71.21
49.9,4.54,14.06,29.48,50.35,76.2
54.43,5.9,15.88,32.21,54.43,80.29
58.97,6.8,17.69,34.93,57.61,84.82
63.5,8.16,19.5,37.65,61.23,88.9
68.04,9.07,21.77,39.92,64.41,92.53
72.57,10.43,23.13,42.64,67.13,96.16
77.11,11.34,24.95,44.91,70.31,99.79
81.65,12.7,26.76,47.17,73.03,102.97
86.18,14.06,28.58,49.44,75.75,106.14
90.72,14.97,29.94,51.26,78.47,109.32
95.25,16.33,31.75,53.52,80.74,112.49
99.79,17.24,33.11,55.34,83.46,115.21
104.33,18.14,34.47,57.15,85.73,117.93
108.86,19.5,36.29,59.42,88,120.66
113.4,20.41,37.65,61.23,90.26,123.38
117.93,21.32,39.01,63.05,92.53,126.1
