BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,19.96,49.44,93.44,151.95,220.9
45.36,24.49,56.25,102.97,163.75,234.96
49.9,29.03,62.6,111.58,174.63,247.66
54.43,33.11,68.49,119.75,184.61,259.91
58.97,37.19,74.84,127.46,194.59,271.7
63.5,41.28,80.29,135.17,203.66,282.59
68.04,45.36,85.73,141.97,212.28,292.57
72.57,49.44,91.17,149.23,220.9,302.55
77.11,53.07,96.62,155.58,228.61,311.62
81.65,56.7,101.6,161.93,236.32,320.69
86.18,60.33,106.14,167.83,244.03,329.31
90.72,63.96,111.13,174.18,250.84,337.47
95.25,67.59,115.67,179.62,257.64,345.64
99.79,70.76,120.2,185.07,264.44,353.35
104.33,74.39,124.28,190.51,270.79,360.61
108.86,77.56,128.37,195.95,277.14,367.86
113.4,80.74,132.45,200.94,283.04,374.67
117.93,83.91,136.53,205.93,288.94,381.47
