BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,4.54,19.96,47.17,86.18,134.26
45.36,6.35,22.68,51.71,92.08,141.07
49.9,7.71,25.4,55.34,97.07,147.87
54.43,9.07,28.12,59.42,102.06,153.77
58.97,10.43,30.39,63.05,107.05,159.66
63.5,11.79,33.11,66.22,111.13,165.11
68.04,13.15,35.38,69.4,115.67,170.1
72.57,14.51,37.65,72.57,119.75,175.09
77.11,15.88,39.46,75.75,123.38,179.62
81.65,17.24,41.73,78.47,127.01,184.16
86.18,18.6,44,81.19,130.63,188.24
90.72,19.96,45.81,83.91,133.81,192.32
95.25,21.32,47.63,86.64,137.44,196.41
99.79,22.68,49.44,89.36,140.61,200.03
104.33,23.59,51.26,91.63,143.34,203.66
108.86,24.95,53.07,93.89,146.51,207.29
113.4,26.31,54.88,96.16,149.23,210.47
117.93,27.22,56.7,98.43,151.95,214.1
