BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,23.13,32.66,44.91,58.51,73.48
45.36,24.95,34.93,47.63,61.69,76.66
49.9,26.76,37.19,49.9,64.41,79.83
54.43,28.58,39.46,52.16,67.13,83.01
58.97,30.39,41.28,54.43,69.85,85.73
63.5,31.75,43.09,56.7,72.12,88.45
68.04,33.57,44.91,58.51,74.39,90.72
72.57,34.93,46.27,60.33,76.2,93.44
77.11,36.29,48.08,62.14,78.47,95.71
81.65,37.65,49.44,63.96,80.29,97.52
86.18,38.56,50.8,65.77,82.1,99.79
90.72,39.92,52.62,67.13,83.91,101.6
95.25,41.28,53.98,68.95,85.73,103.42
99.79,42.18,54.88,70.31,87.09,105.23
104.33,43.54,56.25,71.67,88.9,107.05
108.86,44.45,57.61,73.03,90.26,108.86
113.4,45.36,58.51,74.39,92.08,110.22
117.93,46.72,59.87,75.75,93.44,112.04
