BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,17.69,32.21,51.71,75.75,102.51
45.36,20.87,35.83,56.25,81.19,109.32
49.9,23.13,39.46,60.78,86.64,115.21
54.43,25.85,42.64,64.86,91.17,121.11
58.97,28.58,45.81,68.95,96.16,126.55
63.5,30.84,48.99,72.57,100.7,131.54
68.04,33.11,52.16,76.2,104.78,136.53
72.57,35.38,54.88,79.38,108.86,141.07
77.11,37.65,57.61,83.01,112.49,145.15
81.65,39.92,60.33,86.18,116.12,149.23
86.18,42.18,62.6,88.9,119.75,153.31
90.72,44,65.32,92.08,123.38,157.4
95.25,45.81,67.59,94.8,126.55,161.03
99.79,48.08,69.85,97.52,129.73,164.65
104.33,49.9,72.12,100.24,132.9,168.28
108.86,51.71,74.39,102.97,135.62,171.46
113.4,53.52,76.66,105.23,138.8,174.63
117.93,55.34,78.47,107.95,141.52,177.81
