BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,7.26,19.96,39.92,67.13,98.88
45.36,8.62,21.77,42.64,70.31,103.42
49.9,9.53,23.59,44.91,73.48,107.05
54.43,10.43,25.4,47.63,76.66,110.68
58.97,11.79,26.76,49.44,79.38,113.85
63.5,12.7,28.58,51.71,81.65,117.03
68.04,13.61,29.94,53.52,84.37,120.2
72.57,14.51,31.3,55.34,86.64,122.92
77.11,15.42,32.66,57.15,88.9,125.65
81.65,16.33,34.02,58.97,91.17,127.91
86.18,17.24,35.38,60.78,92.99,130.63
90.72,18.14,36.29,62.14,95.25,132.9
95.25,19.05,37.65,63.96,97.07,135.17
99.79,19.96,38.56,65.32,98.88,136.98
104.33,20.41,39.92,66.68,100.24,139.25
108.86,21.32,40.82,68.04,102.06,141.07
113.4,22.23,41.73,69.4,103.87,142.88
117.93,22.68,43.09,70.76,105.23,144.7
