BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,9.98,20.87,35.38,54.43,76.2
45.36,11.79,22.68,38.1,57.61,79.83
49.9,12.7,24.49,40.37,60.33,83.46
54.43,14.06,26.31,42.64,63.05,86.64
58.97,15.42,27.67,44.91,65.77,89.36
63.5,16.78,29.48,46.72,68.04,92.53
68.04,17.69,30.84,48.53,70.31,95.25
72.57,19.05,32.21,50.35,72.57,97.52
77.11,19.96,33.57,52.16,74.84,99.79
81.65,20.87,34.93,53.98,76.66,102.06
86.18,21.77,36.29,55.34,78.47,104.33
90.72,22.68,37.65,57.15,80.29,106.59
95.25,24.04,39.01,58.51,82.1,108.41
99.79,24.95,39.92,59.87,83.91,110.68
104.33,25.85,41.28,61.23,85.73,112.49
108.86,26.31,42.18,62.6,87.09,114.31
113.4,27.22,43.54,63.96,88.45,116.12
117.93,28.12,44.45,65.32,90.26,117.48
