BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,3.63,9.53,17.69,28.58,41.73
45.36,4.54,10.89,19.5,31.3,44.45
49.9,5.44,11.79,21.32,33.11,47.17
54.43,6.35,13.15,23.13,35.38,49.44
58.97,7.26,14.51,24.49,37.19,52.16
63.5,8.16,15.42,25.85,39.01,53.98
68.04,9.07,16.78,27.67,40.82,56.25
72.57,9.53,17.69,29.03,42.64,58.06
77.11,10.43,19.05,30.39,44.45,59.87
81.65,11.34,19.96,31.3,45.81,61.69
86.18,12.25,20.87,32.66,47.17,63.5
90.72,12.7,21.77,34.02,48.53,65.32
95.25,13.61,22.68,34.93,49.9,67.13
99.79,14.06,23.59,36.29,51.26,68.49
104.33,14.97,24.49,37.19,52.62,69.85
108.86,15.42,25.4,38.56,53.98,71.21
113.4,16.33,26.31,39.46,55.34,73.03
117.93,16.78,27.22,40.37,56.25,74.39
