BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,-11.79,-3.63,5.44,15.88,26.31
45.36,-11.34,-3.18,6.8,17.69,29.03
49.9,-11.34,-2.27,8.16,19.5,31.3
54.43,-11.34,-2.27,9.07,20.87,33.11
58.97,-11.79,-1.81,9.53,21.77,34.47
63.5,-12.25,-1.81,9.98,22.68,35.83
68.04,-12.7,-1.81,10.43,23.59,37.19
72.57,-13.15,-2.27,10.43,24.04,38.1
77.11,-14.06,-2.72,10.43,24.04,38.56
81.65,-14.97,-3.18,9.98,24.49,39.01
86.18,-15.88,-3.63,9.98,24.49,39.01
90.72,-16.78,-4.54,9.53,24.04,39.46
95.25,-17.69,-5.44,8.62,24.04,39.46
99.79,-19.05,-6.35,8.16,23.59,39.01
104.33,-20.41,-7.26,7.26,22.68,39.01
108.86,-21.77,-8.62,6.35,22.23,38.56
113.4,-23.13,-9.98,5.44,21.32,37.65
117.93,-24.95,-11.34,4.08,20.41,37.19
