BW,Beg.,Nov.,Int.,Adv.,Elite
40.82,-15.42,-3.18,11.79,29.48,48.99
45.36,-14.97,-2.27,14.06,32.66,53.07
49.9,-14.97,-1.36,15.88,35.38,56.7
54.43,-15.42,-0.45,17.24,37.65,59.87
58.97,-15.42,0,18.6,39.92,62.6
63.5,-15.88,0.45,19.5,41.73,64.86
68.04,-16.33,0.45,20.41,43.09,67.13
72.57,-16.78,0.45,21.32,44.45,68.95
77.11,-17.24,0.45,21.77,45.36,70.31
81.65,-18.14,0,21.77,46.27,71.67
86.18,-19.05,0,22.23,46.72,73.03
90.72,-19.96,-0.45,22.23,47.63,73.94
95.25,-20.87,-1.36,21.77,47.63,74.84
99.79,-22.23,-1.81,21.77,48.08,75.3
104.33,-23.13,-2.72,21.32,48.08,75.75
108.86,-24.49,-3.63,20.87,48.08,76.2
113.4,-25.85,-4.54,20.41,47.63,76.2
117.93,-27.22,-5.44,19.5,47.17,76.2
