Age,Beg.,Nov.,Int.,Adv.,Elite
15,7.26,13.15,20.87,30.39,41.73
20,8.16,14.97,23.59,34.93,47.63
25,8.62,15.42,24.49,35.83,48.53
30,8.62,15.42,24.49,35.83,48.53
35,8.62,15.42,24.49,35.83,48.53
40,8.62,15.42,24.49,35.83,48.53
45,8.16,14.51,23.13,34.02,46.27
50,7.71,13.61,21.77,31.75,43.54
55,6.8,12.7,19.96,29.48,40.37
60,6.35,11.34,18.14,26.76,36.74
65,5.9,10.43,16.78,24.49,33.11
70,4.99,9.07,14.97,21.77,29.48
75,4.54,8.16,13.15,19.5,26.76
80,4.08,7.26,11.79,17.24,23.59
85,3.63,6.8,10.89,15.88,21.32
90,3.18,5.9,9.53,14.06,19.05
