Age,Beg.,Nov.,Int.,Adv.,Elite
15,14.51,25.4,39.92,57.61,77.56
20,16.78,29.03,45.81,65.77,88.45
25,17.24,29.94,46.72,67.59,91.17
30,17.24,29.94,46.72,67.59,91.17
35,17.24,29.94,46.72,67.59,91.17
40,17.24,29.94,46.72,67.59,91.17
45,16.33,28.58,44.45,63.96,86.18
50,15.42,26.76,41.73,60.33,81.19
55,14.06,24.49,38.56,55.79,74.84
60,13.15,22.68,35.38,50.8,68.49
65,11.79,20.41,31.75,45.81,61.69
70,10.43,18.14,28.58,41.28,55.34
75,9.53,16.33,25.4,36.74,49.44
80,8.62,14.51,22.68,33.11,44.45
85,7.71,13.15,20.41,29.48,39.92
90,6.8,11.79,18.6,26.76,35.83
