Age,Beg.,Nov.,Int.,Adv.,Elite
15,42.64,70.31,107.5,151.95,201.4
20,48.53,80.74,122.92,173.73,230.88
25,49.9,83.01,126.1,178.26,236.78
30,49.9,83.01,126.1,178.26,236.78
35,49.9,83.01,126.1,178.26,236.78
40,49.9,83.01,126.1,178.26,236.78
45,47.17,78.47,119.75,169.19,224.53
50,44.45,73.94,112.04,158.76,210.92
55,41.28,68.04,103.87,146.96,195.04
60,37.65,62.14,94.8,134.26,177.81
65,34.02,56.25,85.73,121.11,160.57
70,30.39,50.35,76.66,108.86,144.24
75,27.22,44.91,68.49,97.07,128.82
80,24.49,40.37,61.23,87.09,115.21
85,21.77,36.29,54.88,78.02,103.42
90,19.5,32.66,49.44,70.31,93.44
