Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.43,22.23,39.92,62.14,88
20,11.79,25.4,45.36,71.21,100.7
25,12.25,26.31,46.72,73.03,103.42
30,12.25,26.31,46.72,73.03,103.42
35,12.25,26.31,46.72,73.03,103.42
40,12.25,26.31,46.72,73.03,103.42
45,11.79,24.95,44.45,68.95,97.98
50,10.89,23.59,41.73,64.86,92.08
55,9.98,21.77,38.56,59.87,85.28
60,9.07,19.96,34.93,54.88,77.56
65,8.16,17.69,31.75,49.44,70.31
70,7.26,15.88,28.58,44.45,63.05
75,6.8,14.51,25.4,39.92,56.25
80,5.9,12.7,22.68,35.38,50.35
85,5.44,11.34,20.41,31.75,44.91
90,4.99,10.43,18.6,28.58,40.82
