Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.5,34.93,55.34,80.74,109.32
20,22.68,39.92,63.5,92.53,124.74
25,23.13,40.82,64.86,94.8,128.37
30,23.13,40.82,64.86,94.8,128.37
35,23.13,40.82,64.86,94.8,128.37
40,23.13,40.82,64.86,94.8,128.37
45,21.77,39.01,61.69,89.81,121.56
50,20.41,36.29,58.06,84.37,114.31
55,19.05,33.57,53.52,78.02,105.69
60,17.24,30.84,48.99,71.21,96.16
65,15.88,27.67,44,64.41,87.09
70,14.06,24.95,39.46,57.61,78.02
75,12.7,22.23,35.38,51.71,69.85
80,11.34,19.96,31.75,46.27,62.6
85,9.98,17.69,28.58,41.28,55.79
90,9.07,16.33,25.4,37.19,50.35
