Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.98,18.14,29.48,43.54,59.87
20,11.34,20.87,33.57,49.9,68.49
25,11.34,21.32,34.47,51.26,70.31
30,11.34,21.32,34.47,51.26,70.31
35,11.34,21.32,34.47,51.26,70.31
40,11.34,21.32,34.47,51.26,70.31
45,10.89,19.96,32.66,48.53,66.68
50,10.43,19.05,30.84,45.81,62.6
55,9.53,17.69,28.58,42.18,57.61
60,8.62,15.88,25.85,38.56,52.62
65,7.71,14.51,23.59,34.93,47.63
70,6.8,13.15,21.32,31.3,42.64
75,6.35,11.79,19.05,28.12,38.1
80,5.44,10.43,16.78,24.95,34.02
85,4.99,9.07,14.97,22.23,30.84
90,4.54,8.16,13.61,20.41,27.67
