Age,Beg.,Nov.,Int.,Adv.,Elite
15,58.51,89.81,130.18,177.81,229.97
20,67.13,102.97,148.78,203.21,263.08
25,68.95,105.69,152.86,208.65,269.89
30,68.95,105.69,152.86,208.65,269.89
35,68.95,105.69,152.86,208.65,269.89
40,68.95,105.69,152.86,208.65,269.89
45,65.32,100.24,145.15,197.77,256.28
50,61.23,93.89,136.08,185.97,240.4
55,56.7,87.09,125.65,171.91,222.26
60,51.71,79.38,114.76,156.94,202.76
65,46.72,71.67,103.87,141.52,183.25
70,41.73,64.41,92.99,127.01,164.65
75,37.65,57.61,83.46,113.85,146.96
80,33.57,51.71,74.39,101.6,131.54
85,29.94,46.27,66.68,91.17,117.93
90,27.22,41.73,60.33,82.1,106.14
