Age,Beg.,Nov.,Int.,Adv.,Elite
15,12.25,28.58,52.16,83.46,119.75
20,14.06,32.66,59.87,95.25,136.98
25,14.51,33.11,61.23,97.98,140.61
30,14.51,33.11,61.23,97.98,140.61
35,14.51,33.11,61.23,97.98,140.61
40,14.51,33.11,61.23,97.98,140.61
45,13.61,31.75,58.06,92.99,133.36
50,12.7,29.48,54.43,87.09,125.19
55,11.79,27.67,50.35,80.74,115.67
60,10.89,24.95,46.27,73.48,105.69
65,9.98,22.68,41.73,66.68,95.71
70,8.62,20.41,37.19,59.87,85.73
75,7.71,18.14,33.57,53.52,76.66
80,7.26,16.33,29.94,47.63,68.49
85,6.35,14.51,26.76,42.64,61.23
90,5.9,13.15,24.04,38.56,55.34
