Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.54,14.97,33.11,57.61,88
20,4.99,17.24,37.65,66.22,100.7
25,4.99,17.69,38.56,68.04,102.97
30,4.99,17.69,38.56,68.04,102.97
35,4.99,17.69,38.56,68.04,102.97
40,4.99,17.69,38.56,68.04,102.97
45,4.99,16.78,36.74,64.41,97.98
50,4.54,15.88,34.47,60.33,92.08
55,4.08,14.51,31.75,55.79,84.82
60,4.08,13.15,29.03,50.8,77.56
65,3.63,11.79,26.31,46.27,69.85
70,3.18,10.89,23.59,41.28,63.05
75,2.72,9.53,20.87,36.74,56.25
80,2.72,8.62,19.05,33.11,50.35
85,2.27,7.71,16.78,29.48,44.91
90,2.27,6.8,15.42,26.76,40.82
