Age,Beg.,Nov.,Int.,Adv.,Elite
15,3.63,9.07,16.78,27.22,39.46
20,4.08,9.98,19.05,31.3,44.91
25,4.54,10.43,19.96,31.75,46.27
30,4.54,10.43,19.96,31.75,46.27
35,4.54,10.43,19.96,31.75,46.27
40,4.54,10.43,19.96,31.75,46.27
45,4.08,9.98,18.6,30.39,44
50,4.08,9.53,17.69,28.58,41.28
55,3.63,8.62,16.33,26.31,38.1
60,3.18,7.71,14.97,24.04,34.93
65,3.18,7.26,13.61,21.77,31.3
70,2.72,6.35,12.25,19.5,28.12
75,2.27,5.9,10.89,17.24,25.4
80,2.27,4.99,9.53,15.42,22.68
85,1.81,4.54,8.62,14.06,20.41
90,1.81,4.08,7.71,12.7,18.14
