Age,Beg.,Nov.,Int.,Adv.,Elite
15,11.34,27.22,50.8,82.1,118.84
20,12.7,30.84,58.06,93.89,136.08
25,13.15,31.75,59.87,96.62,139.71
30,13.15,31.75,59.87,96.62,139.71
35,13.15,31.75,59.87,96.62,139.71
40,13.15,31.75,59.87,96.62,139.71
45,12.7,29.94,56.7,91.63,132.45
50,11.79,28.12,53.07,85.73,124.28
55,10.89,26.31,49.44,79.38,115.21
60,9.98,24.04,44.91,72.57,105.23
65,9.07,21.77,40.37,65.77,94.8
70,8.16,19.5,36.29,58.97,85.28
75,7.26,17.24,32.66,52.62,76.2
80,6.35,15.42,29.03,47.17,68.04
85,5.9,14.06,26.31,42.18,61.23
90,5.44,12.7,23.59,38.1,54.88
