Age,Beg.,Nov.,Int.,Adv.,Elite
15,17.69,34.93,58.97,88.9,123.83
20,20.41,39.92,67.13,102.06,141.52
25,20.87,40.82,68.95,104.78,145.15
30,20.87,40.82,68.95,104.78,145.15
35,20.87,40.82,68.95,104.78,145.15
40,20.87,40.82,68.95,104.78,145.15
45,19.96,39.01,65.32,99.34,137.89
50,18.6,36.29,61.69,92.99,129.27
55,17.24,33.57,56.7,86.18,119.75
60,15.88,30.84,51.71,78.47,109.32
65,14.06,27.67,46.72,71.21,98.88
70,12.7,24.95,42.18,63.96,88.45
75,11.34,22.23,37.65,57.15,79.38
80,9.98,19.96,33.57,50.8,70.76
85,9.07,17.69,30.39,45.81,63.5
90,8.16,16.33,27.22,41.28,57.15
