Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.05,33.57,53.07,77.11,104.33
20,21.77,38.56,60.78,88.45,119.75
25,22.23,39.46,62.6,90.72,122.92
30,22.23,39.46,62.6,90.72,122.92
35,22.23,39.46,62.6,90.72,122.92
40,22.23,39.46,62.6,90.72,122.92
45,21.32,37.19,59.42,86.18,116.57
50,19.96,34.93,55.79,80.74,109.32
55,18.6,32.66,51.26,74.84,101.15
60,16.78,29.48,46.72,68.04,92.08
65,14.97,26.76,42.18,61.69,83.46
70,13.61,24.04,38.1,55.34,74.84
75,12.25,21.32,34.02,49.44,66.68
80,10.89,19.05,30.39,44.45,59.87
85,9.98,17.24,27.22,39.46,53.52
90,8.62,15.42,24.49,35.83,48.53
