Age,Beg.,Nov.,Int.,Adv.,Elite
15,7.71,17.24,31.3,49.9,71.67
20,8.62,19.96,35.83,57.15,81.65
25,9.07,20.41,37.19,58.51,83.91
30,9.07,20.41,37.19,58.51,83.91
35,9.07,20.41,37.19,58.51,83.91
40,9.07,20.41,37.19,58.51,83.91
45,8.62,19.5,34.93,55.79,79.38
50,8.16,18.14,33.11,52.16,74.84
55,7.26,16.78,30.39,48.08,68.95
60,6.8,15.42,27.67,44,63.05
65,6.35,13.61,24.95,39.92,57.15
70,5.44,12.25,22.68,35.83,51.26
75,4.99,10.89,19.96,31.75,45.81
80,4.54,9.98,18.14,28.58,40.82
85,4.08,9.07,16.33,25.4,36.74
90,3.63,8.16,14.51,23.13,33.11
