Age,Beg.,Nov.,Int.,Adv.,Elite
15,26.31,46.27,73.03,105.69,142.88
20,29.94,52.62,83.46,121.11,163.75
25,30.84,53.98,85.73,124.28,167.83
30,30.84,53.98,85.73,124.28,167.83
35,30.84,53.98,85.73,124.28,167.83
40,30.84,53.98,85.73,124.28,167.83
45,29.03,51.26,81.19,117.93,159.21
50,27.22,48.08,76.2,110.68,149.69
55,25.4,44.45,70.31,102.51,138.35
60,23.13,40.82,64.41,93.44,126.1
65,20.87,36.74,58.06,84.37,114.31
70,18.6,33.11,52.16,75.75,102.51
75,16.78,29.48,46.72,67.59,91.63
80,14.97,26.31,41.73,60.78,81.65
85,13.61,23.59,37.19,54.43,73.48
90,12.25,21.32,33.57,48.99,66.22
