Age,Beg.,Nov.,Int.,Adv.,Elite
15,8.62,17.69,30.39,46.27,64.86
20,9.98,19.96,34.47,53.07,74.39
25,9.98,20.41,35.38,54.43,76.2
30,9.98,20.41,35.38,54.43,76.2
35,9.98,20.41,35.38,54.43,76.2
40,9.98,20.41,35.38,54.43,76.2
45,9.53,19.5,33.57,51.71,72.12
50,9.07,18.6,31.75,48.53,68.04
55,8.16,16.78,29.03,44.91,62.6
60,7.71,15.42,26.76,40.82,57.15
65,6.8,14.06,24.04,36.74,51.71
70,6.35,12.7,21.77,33.11,46.27
75,5.44,11.34,19.5,29.48,41.73
80,4.99,9.98,17.24,26.31,37.19
85,4.54,9.07,15.42,23.59,33.11
90,4.08,8.16,14.06,21.32,29.94
