Age,Beg.,Nov.,Int.,Adv.,Elite
15,32.21,47.17,66.22,88,111.58
20,37.19,53.98,75.75,100.7,127.91
25,38.1,55.34,77.56,103.42,131.09
30,38.1,55.34,77.56,103.42,131.09
35,38.1,55.34,77.56,103.42,131.09
40,38.1,55.34,77.56,103.42,131.09
45,35.83,52.62,73.48,97.98,124.74
50,33.57,49.44,68.95,92.08,117.03
55,31.3,45.81,63.96,85.28,107.95
60,28.58,41.73,58.51,77.56,98.88
65,25.85,37.65,52.62,70.31,89.36
70,23.13,34.02,47.17,63.05,79.83
75,20.87,30.39,42.18,56.25,71.67
80,18.6,27.22,37.65,50.35,63.96
85,16.78,24.04,34.02,44.91,57.15
90,14.97,21.77,30.39,40.82,51.71
