Age,Beg.,Nov.,Int.,Adv.,Elite
15,66.68,94.8,129.73,170.1,213.19
20,76.66,108.86,148.32,194.59,244.03
25,78.47,111.58,152.41,199.58,250.38
30,78.47,111.58,152.41,199.58,250.38
35,78.47,111.58,152.41,199.58,250.38
40,78.47,111.58,152.41,199.58,250.38
45,74.39,105.69,144.7,189.15,237.68
50,69.85,99.34,135.62,177.81,223.17
55,64.41,91.63,125.65,164.2,206.38
60,58.97,83.91,114.31,150.14,188.24
65,53.52,75.75,103.42,135.62,170.1
70,47.63,68.04,92.99,121.56,152.41
75,42.64,60.78,83.01,108.86,136.53
80,38.1,54.43,74.39,97.07,122.02
85,34.47,48.53,66.68,87.09,109.32
90,30.84,44,59.87,78.47,98.43
