Age,Beg.,Nov.,Int.,Adv.,Elite
15,76.66,106.14,141.52,182.34,225.89
20,88,121.11,161.93,208.65,258.55
25,90.26,124.28,166.01,214.1,264.9
30,90.26,124.28,166.01,214.1,264.9
35,90.26,124.28,166.01,214.1,264.9
40,90.26,124.28,166.01,214.1,264.9
45,85.73,117.93,157.85,202.76,251.29
50,80.29,110.68,147.87,190.51,235.87
55,74.39,102.51,136.98,175.99,218.18
60,68.04,93.44,124.74,160.57,199.13
65,61.23,84.37,112.94,145.15,180.08
70,54.88,75.75,101.15,130.18,161.48
75,48.99,68.04,90.72,116.57,144.24
80,44,60.78,81.19,104.33,129.27
85,39.46,54.43,72.57,93.44,115.67
90,35.38,48.99,65.32,84.37,104.33
