Age,Beg.,Nov.,Int.,Adv.,Elite
15,13.61,22.68,34.93,49.9,66.22
20,15.42,25.85,39.92,56.7,75.75
25,15.88,26.76,40.82,58.51,77.56
30,15.88,26.76,40.82,58.51,77.56
35,15.88,26.76,40.82,58.51,77.56
40,15.88,26.76,40.82,58.51,77.56
45,14.97,25.4,39.01,55.34,73.94
50,14.06,23.59,36.29,52.16,69.4
55,13.15,21.77,33.57,48.08,63.96
60,11.79,19.96,30.84,44,58.51
65,10.89,18.14,27.67,39.46,52.62
70,9.53,16.33,24.95,35.38,47.17
75,8.62,14.51,22.23,31.75,42.18
80,7.71,13.15,19.96,28.58,38.1
85,6.8,11.79,17.69,25.4,34.02
90,6.35,10.43,16.33,23.13,30.84
