Age,Beg.,Nov.,Int.,Adv.,Elite
15,6.8,16.78,32.66,53.52,78.02
20,7.71,19.5,37.19,61.23,89.36
25,7.71,19.96,38.56,63.05,91.63
30,7.71,19.96,38.56,63.05,91.63
35,7.71,19.96,38.56,63.05,91.63
40,7.71,19.96,38.56,63.05,91.63
45,7.26,19.05,36.29,59.42,87.09
50,6.8,17.69,34.02,55.79,81.65
55,6.35,16.33,31.75,51.71,75.75
60,5.9,14.97,29.03,47.17,68.95
65,5.44,13.61,25.85,42.64,62.6
70,4.99,12.25,23.59,38.1,55.79
75,4.08,10.89,20.87,34.47,49.9
80,3.63,9.53,18.6,30.84,44.91
85,3.63,8.62,16.78,27.67,39.92
90,3.18,7.71,14.97,24.95,36.29
