Age,Beg.,Nov.,Int.,Adv.,Elite
15,5.9,11.34,18.6,28.12,39.01
20,6.35,12.7,21.32,32.21,44.91
25,6.8,13.15,21.77,33.11,45.81
30,6.8,13.15,21.77,33.11,45.81
35,6.8,13.15,21.77,33.11,45.81
40,6.8,13.15,21.77,33.11,45.81
45,6.35,12.25,20.87,31.3,43.54
50,5.9,11.79,19.5,29.48,40.82
55,5.44,10.89,18.14,27.22,37.65
60,4.99,9.98,16.33,24.95,34.47
65,4.54,9.07,14.97,22.68,31.3
70,4.08,8.16,13.61,20.41,28.12
75,3.63,7.26,11.79,18.14,24.95
80,3.18,6.35,10.89,16.33,22.23
85,2.72,5.9,9.53,14.51,19.96
90,2.72,4.99,8.62,13.15,18.14
