Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.53,17.24,27.22,39.92,53.98
20,10.89,19.5,31.3,45.36,61.69
25,11.34,19.96,32.21,46.72,63.5
30,11.34,19.96,32.21,46.72,63.5
35,11.34,19.96,32.21,46.72,63.5
40,11.34,19.96,32.21,46.72,63.5
45,10.89,19.05,30.39,44.45,60.33
50,9.98,17.69,28.58,41.73,56.25
55,9.53,16.33,26.31,38.56,52.16
60,8.62,14.97,24.04,34.93,47.63
65,7.71,13.61,21.77,31.75,43.09
70,6.8,12.25,19.5,28.58,38.56
75,6.35,10.89,17.24,25.4,34.47
80,5.44,9.98,15.42,22.68,30.84
85,4.99,8.62,14.06,20.41,27.67
90,4.54,7.71,12.7,18.6,24.95
