Age,Beg.,Nov.,Int.,Adv.,Elite
15,2.72,8.62,19.05,34.02,51.71
20,2.72,9.98,22.23,39.01,59.42
25,2.72,10.43,22.68,39.92,60.78
30,2.72,10.43,22.68,39.92,60.78
35,2.72,10.43,22.68,39.92,60.78
40,2.72,10.43,22.68,39.92,60.78
45,2.72,9.53,21.32,37.65,57.61
50,2.72,9.07,19.96,35.38,53.98
55,2.27,8.62,18.6,32.66,49.9
60,2.27,7.71,16.78,29.94,45.81
65,1.81,6.8,15.42,27.22,41.28
70,1.81,6.35,13.61,24.04,37.19
75,1.81,5.44,12.25,21.77,33.11
80,1.36,4.99,10.89,19.5,29.48
85,1.36,4.54,9.98,17.24,26.31
90,1.36,4.08,9.07,15.88,24.04
