Age,Beg.,Nov.,Int.,Adv.,Elite
15,8.62,16.33,26.76,40.37,55.79
20,9.98,18.6,30.84,46.27,63.5
25,9.98,19.05,31.75,47.63,65.32
30,9.98,19.05,31.75,47.63,65.32
35,9.98,19.05,31.75,47.63,65.32
40,9.98,19.05,31.75,47.63,65.32
45,9.53,18.14,29.94,44.91,62.14
50,9.07,16.78,28.12,42.18,58.06
55,8.16,15.88,26.31,39.01,53.98
60,7.71,14.51,23.59,35.83,48.99
65,6.8,13.15,21.32,32.21,44.45
70,5.9,11.79,19.5,29.03,39.92
75,5.44,10.43,17.24,25.85,35.83
80,4.99,9.53,15.42,23.13,31.75
85,4.54,8.16,13.61,20.87,28.58
90,4.08,7.71,12.25,18.6,25.85
