Age,Beg.,Nov.,Int.,Adv.,Elite
15,1.36,6.8,16.78,31.3,48.99
20,1.81,7.71,19.5,35.83,56.25
25,1.81,8.16,19.96,36.74,57.61
30,1.81,8.16,19.96,36.74,57.61
35,1.81,8.16,19.96,36.74,57.61
40,1.81,8.16,19.96,36.74,57.61
45,1.81,7.71,19.05,34.93,54.88
50,1.36,7.26,17.69,32.66,51.26
55,1.36,6.8,16.33,30.39,47.63
60,1.36,5.9,14.97,27.67,43.54
65,1.36,5.44,13.61,24.95,39.01
70,0.91,4.99,12.25,22.23,34.93
75,0.91,4.54,10.89,19.96,31.3
80,0.91,4.08,9.53,17.69,28.12
85,0.91,3.63,8.62,15.88,25.4
90,0.91,3.18,7.71,14.51,22.68
