Age,Beg.,Nov.,Int.,Adv.,Elite
15,12.25,23.59,39.01,58.51,80.74
20,14.06,26.76,44.45,67.13,92.53
25,14.51,27.67,45.81,68.49,94.8
30,14.51,27.67,45.81,68.49,94.8
35,14.51,27.67,45.81,68.49,94.8
40,14.51,27.67,45.81,68.49,94.8
45,13.61,25.85,43.54,65.32,90.26
50,12.7,24.49,40.82,61.23,84.37
55,11.79,22.68,37.65,56.7,78.02
60,10.89,20.87,34.47,51.71,71.21
65,9.53,18.6,31.3,46.72,64.41
70,8.62,16.78,27.67,41.73,58.06
75,7.71,14.97,24.95,37.65,51.71
80,6.8,13.15,22.23,33.57,46.27
85,6.35,11.79,19.96,29.94,41.28
90,5.44,10.89,18.14,27.22,37.19
