Age,Beg.,Nov.,Int.,Adv.,Elite
15,3.18,13.15,31.75,58.51,91.17
20,3.63,15.42,36.29,66.68,104.33
25,3.63,15.42,37.65,68.49,107.05
30,3.63,15.42,37.65,68.49,107.05
35,3.63,15.42,37.65,68.49,107.05
40,3.63,15.42,37.65,68.49,107.05
45,3.18,14.97,35.38,64.86,101.6
50,3.18,14.06,33.11,61.23,95.25
55,2.72,12.7,30.84,56.25,88
60,2.72,11.79,28.12,51.71,80.29
65,2.27,10.43,25.4,46.72,72.57
70,2.27,9.53,22.68,41.73,65.32
75,1.81,8.62,20.41,37.19,58.51
80,1.81,7.71,18.14,33.57,52.16
85,1.36,6.8,16.33,29.94,46.72
90,1.36,6.35,14.51,27.22,42.18
