Age,Beg.,Nov.,Int.,Adv.,Elite
15,9.07,17.69,29.48,44.45,61.23
20,10.43,19.96,33.57,50.8,70.31
25,10.89,20.87,34.47,52.16,72.12
30,10.89,20.87,34.47,52.16,72.12
35,10.89,20.87,34.47,52.16,72.12
40,10.89,20.87,34.47,52.16,72.12
45,9.98,19.5,32.66,49.44,68.49
50,9.53,18.6,30.84,46.27,63.96
55,8.62,17.24,28.58,42.64,59.42
60,8.16,15.42,25.85,39.01,53.98
65,7.26,14.06,23.59,35.38,48.99
70,6.35,12.7,20.87,31.75,44
75,5.9,11.34,19.05,28.58,39.46
80,4.99,9.98,16.78,25.4,34.93
85,4.54,9.07,14.97,22.68,31.3
90,4.08,8.16,13.61,20.41,28.58
