Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.08,10.43,19.96,32.21,47.17
20,4.99,11.79,22.68,37.19,53.98
25,4.99,12.25,23.59,38.1,55.34
30,4.99,12.25,23.59,38.1,55.34
35,4.99,12.25,23.59,38.1,55.34
40,4.99,12.25,23.59,38.1,55.34
45,4.54,11.79,22.23,36.29,52.62
50,4.54,10.89,20.87,34.02,49.44
55,4.08,9.98,19.05,31.3,45.81
60,3.63,9.07,17.69,28.58,41.73
65,3.18,8.16,15.88,25.85,37.65
70,3.18,7.26,14.06,23.13,33.57
75,2.72,6.8,12.7,20.87,30.39
80,2.27,5.9,11.34,18.6,27.22
85,2.27,5.44,9.98,16.78,24.04
90,1.81,4.99,9.07,14.97,21.77
