Age,Beg.,Nov.,Int.,Adv.,Elite
15,3.18,8.16,15.42,24.95,36.29
20,4.08,9.53,17.69,28.58,41.28
25,4.08,9.53,18.14,29.48,42.64
30,4.08,9.53,18.14,29.48,42.64
35,4.08,9.53,18.14,29.48,42.64
40,4.08,9.53,18.14,29.48,42.64
45,3.63,9.07,17.24,27.67,40.37
50,3.63,8.62,16.33,26.31,37.65
55,3.18,7.71,14.97,24.04,34.93
60,3.18,7.26,13.61,22.23,31.75
65,2.72,6.35,12.25,19.96,29.03
70,2.27,5.9,10.89,17.69,25.85
75,2.27,5.44,9.98,15.88,23.13
80,1.81,4.54,8.62,14.51,20.87
85,1.81,4.08,7.71,12.7,18.6
90,1.36,3.63,7.26,11.34,16.78
