Age,Beg.,Nov.,Int.,Adv.,Elite
15,5.9,13.61,25.85,41.73,60.78
20,6.35,15.88,29.48,48.08,69.4
25,6.8,16.33,30.39,48.99,71.21
30,6.8,16.33,30.39,48.99,71.21
35,6.8,16.33,30.39,48.99,71.21
40,6.8,16.33,30.39,48.99,71.21
45,6.35,15.42,29.03,46.72,67.59
50,5.9,14.51,27.22,43.54,63.5
55,5.44,13.15,24.95,40.37,58.51
60,4.99,12.25,22.68,36.74,53.52
65,4.54,10.89,20.41,33.57,48.53
70,4.08,9.98,18.6,29.94,43.54
75,3.63,8.62,16.78,26.76,39.01
80,3.18,7.71,14.97,24.04,34.93
85,2.72,7.26,13.15,21.32,31.3
90,2.72,6.35,11.79,19.5,28.12
