Age,Beg.,Nov.,Int.,Adv.,Elite
15,17.24,27.22,39.92,54.88,71.67
20,19.96,31.3,45.81,63.05,82.1
25,20.41,31.75,46.72,64.41,84.37
30,20.41,31.75,46.72,64.41,84.37
35,20.41,31.75,46.72,64.41,84.37
40,20.41,31.75,46.72,64.41,84.37
45,19.5,30.39,44.45,61.23,79.83
50,18.14,28.58,41.73,57.61,74.84
55,16.78,26.31,38.56,53.07,69.4
60,15.42,24.04,35.38,48.53,63.5
65,14.06,21.77,31.75,44,57.15
70,12.25,19.5,28.58,39.46,51.26
75,10.89,17.24,25.4,35.38,45.81
80,9.98,15.42,22.68,31.3,40.82
85,9.07,14.06,20.41,28.12,36.74
90,8.16,12.7,18.6,25.4,33.11
