Age,Beg.,Nov.,Int.,Adv.,Elite
15,10.43,22.23,39.01,60.78,86.18
20,11.79,25.4,44.45,69.4,98.43
25,12.25,25.85,45.81,71.21,101.15
30,12.25,25.85,45.81,71.21,101.15
35,12.25,25.85,45.81,71.21,101.15
40,12.25,25.85,45.81,71.21,101.15
45,11.34,24.49,43.54,67.59,95.71
50,10.89,23.13,40.82,63.5,89.81
55,9.98,21.32,37.65,58.51,83.01
60,9.07,19.5,34.47,53.52,75.75
65,8.16,17.69,31.3,48.53,68.49
70,7.26,15.88,28.12,43.54,61.69
75,6.8,14.06,24.95,39.01,54.88
80,5.9,12.7,22.23,34.93,48.99
85,5.44,11.34,19.96,31.3,44
90,4.99,9.98,18.14,28.12,39.92
