Age,Beg.,Nov.,Int.,Adv.,Elite
15,46.27,65.77,89.36,117.03,146.51
20,53.07,75.3,102.51,133.81,167.83
25,54.43,77.11,105.23,137.44,171.91
30,54.43,77.11,105.23,137.44,171.91
35,54.43,77.11,105.23,137.44,171.91
40,54.43,77.11,105.23,137.44,171.91
45,51.71,73.03,99.79,130.18,163.29
50,48.53,68.49,93.44,122.02,153.31
55,44.91,63.5,86.64,112.94,141.52
60,40.82,58.06,78.93,102.97,129.27
65,37.19,52.16,71.21,92.99,116.57
70,33.11,47.17,63.96,83.46,104.78
75,29.48,42.18,57.15,74.84,93.89
80,26.76,37.65,51.26,66.68,83.91
85,23.59,33.57,45.81,59.87,75.3
90,21.32,30.39,41.28,53.98,67.59
