Age,Beg.,Nov.,Int.,Adv.,Elite
15,59.87,86.18,119.29,157.85,199.13
20,68.49,98.88,136.53,180.53,228.16
25,70.31,101.15,140.16,185.07,234.05
30,70.31,101.15,140.16,185.07,234.05
35,70.31,101.15,140.16,185.07,234.05
40,70.31,101.15,140.16,185.07,234.05
45,66.68,96.16,132.9,175.54,221.81
50,62.6,90.26,124.74,164.65,208.2
55,57.61,83.46,115.21,152.41,192.78
60,52.62,76.2,105.23,139.25,175.99
65,47.63,68.95,95.25,125.65,158.76
70,42.64,61.69,85.28,112.94,142.43
75,38.1,55.34,76.2,100.7,127.46
80,34.02,49.44,68.04,90.26,113.85
85,30.39,44,61.23,80.74,102.06
90,27.67,39.92,55.34,73.03,92.08
