Age,Beg.,Nov.,Int.,Adv.,Elite
15,35.83,51.71,71.67,94.8,120.2
20,40.82,58.97,82.1,108.41,137.44
25,41.73,60.78,84.37,111.58,141.07
30,41.73,60.78,84.37,111.58,141.07
35,41.73,60.78,84.37,111.58,141.07
40,41.73,60.78,84.37,111.58,141.07
45,39.92,57.61,79.83,105.69,133.81
50,37.19,53.98,74.84,99.34,125.65
55,34.47,49.9,69.4,91.63,116.12
60,31.3,45.81,63.05,83.91,106.14
65,28.58,41.28,57.15,75.75,95.71
70,25.4,37.19,51.26,68.04,86.18
75,22.68,33.11,45.81,60.78,77.11
80,20.41,29.48,40.82,54.43,68.95
85,18.14,26.31,36.74,48.53,61.69
90,16.33,24.04,33.11,44,55.34
