Age,Beg.,Nov.,Int.,Adv.,Elite
15,33.11,48.53,68.04,91.17,116.12
20,37.65,55.79,78.02,104.33,132.9
25,38.56,57.15,80.29,107.05,136.53
30,38.56,57.15,80.29,107.05,136.53
35,38.56,57.15,80.29,107.05,136.53
40,38.56,57.15,80.29,107.05,136.53
45,36.74,53.98,76.2,101.6,129.73
50,34.47,50.8,71.21,95.25,121.56
55,31.75,47.17,66.22,88.45,112.49
60,29.03,43.09,60.33,80.74,102.51
65,26.31,38.56,54.43,72.57,92.53
70,23.59,34.93,48.99,65.32,83.01
75,20.87,31.3,43.54,58.51,74.39
80,19.05,27.67,39.01,52.16,66.68
85,16.78,24.95,34.93,46.72,59.42
90,15.42,22.68,31.75,42.18,53.98
