Age,Beg.,Nov.,Int.,Adv.,Elite
15,21.77,35.38,53.07,74.39,97.98
20,24.95,40.37,60.78,85.28,112.04
25,25.85,41.73,62.6,87.54,115.21
30,25.85,41.73,62.6,87.54,115.21
35,25.85,41.73,62.6,87.54,115.21
40,25.85,41.73,62.6,87.54,115.21
45,24.49,39.46,59.42,83.01,109.32
50,23.13,37.19,55.34,77.56,102.51
55,21.32,34.47,51.26,72.12,94.8
60,19.5,31.3,46.72,65.77,86.64
65,17.69,28.12,42.18,59.42,78.02
70,15.88,25.4,38.1,53.07,70.31
75,14.06,22.68,34.02,47.63,62.6
80,12.7,20.41,30.39,42.64,56.25
85,11.34,18.14,27.22,38.1,50.35
90,9.98,16.33,24.49,34.47,45.36
