Age,Beg.,Nov.,Int.,Adv.,Elite
15,25.4,50.35,85.73,130.18,181.44
20,29.03,57.61,97.98,149.23,207.75
25,29.94,59.42,100.7,152.86,213.19
30,29.94,59.42,100.7,152.86,213.19
35,29.94,59.42,100.7,152.86,213.19
40,29.94,59.42,100.7,152.86,213.19
45,28.12,56.25,95.25,145.15,202.3
50,26.76,52.62,89.81,136.08,189.6
55,24.49,48.99,83.01,126.1,175.54
60,22.23,44.45,75.75,115.21,160.12
65,20.41,40.37,68.49,103.87,144.7
70,18.14,36.29,61.23,93.44,129.73
75,16.33,32.21,54.88,83.46,116.12
80,14.51,29.03,48.99,74.39,103.87
85,13.15,25.85,44,66.68,92.99
90,11.79,23.13,39.46,60.33,83.91
