Age,Beg.,Nov.,Int.,Adv.,Elite
15,32.66,64.41,109.77,166.92,232.69
20,37.19,73.94,125.65,190.96,266.26
25,38.1,75.75,128.82,195.95,273.52
30,38.1,75.75,128.82,195.95,273.52
35,38.1,75.75,128.82,195.95,273.52
40,38.1,75.75,128.82,195.95,273.52
45,36.29,71.67,122.47,185.97,259.45
50,34.02,67.59,114.76,174.63,243.58
55,31.3,62.6,106.14,161.48,224.98
60,28.58,57.15,97.07,147.42,205.48
65,25.85,51.26,87.54,133.36,185.52
70,23.13,46.27,78.47,119.29,166.47
75,20.87,41.28,70.31,107.05,148.78
80,18.6,36.74,62.6,95.71,133.36
85,16.78,33.11,56.25,85.73,119.29
90,14.97,29.94,50.8,77.11,107.5
