Age,Beg.,Nov.,Int.,Adv.,Elite
15,60.33,104.78,164.2,237.23,318.88
20,68.95,119.75,188.24,271.25,365.14
25,70.76,122.92,192.78,278.51,374.67
30,70.76,122.92,192.78,278.51,374.67
35,70.76,122.92,192.78,278.51,374.67
40,70.76,122.92,192.78,278.51,374.67
45,67.13,116.57,183.25,263.99,355.62
50,63.05,109.77,171.91,248.12,333.39
55,58.51,101.15,158.76,229.52,308.44
60,53.52,92.53,145.15,209.11,281.68
65,48.08,83.46,131.09,189.15,254.47
70,43.09,74.84,117.48,169.64,228.16
75,38.56,67.13,105.23,151.95,204.12
80,34.47,59.87,93.89,135.62,182.34
85,30.84,53.52,84.37,121.56,163.75
90,28.12,48.53,75.75,109.77,147.42
