Age,Beg.,Nov.,Int.,Adv.,Elite
15,37.65,54.88,75.75,100.24,127.01
20,43.09,62.6,86.64,114.76,145.6
25,44.45,64.41,88.9,117.93,149.23
30,44.45,64.41,88.9,117.93,149.23
35,44.45,64.41,88.9,117.93,149.23
40,44.45,64.41,88.9,117.93,149.23
45,42.18,60.78,84.37,112.04,141.52
50,39.46,57.15,79.38,104.78,132.9
55,36.29,53.07,73.48,97.07,122.92
60,33.11,48.08,67.13,88.45,112.04
65,29.94,43.54,60.33,79.83,101.15
70,27.22,39.01,54.43,71.67,90.72
75,24.04,34.93,48.53,64.41,81.19
80,21.77,31.3,43.54,57.61,72.57
85,19.5,28.12,39.01,51.26,65.32
90,17.24,25.4,34.93,46.27,58.51
