Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.99,9.98,16.33,24.95,34.47
20,5.9,11.34,19.05,28.58,39.46
25,5.9,11.79,19.5,29.03,40.37
30,5.9,11.79,19.5,29.03,40.37
35,5.9,11.79,19.5,29.03,40.37
40,5.9,11.79,19.5,29.03,40.37
45,5.9,10.89,18.6,27.67,38.56
50,5.44,10.43,17.24,25.85,35.83
55,4.99,9.53,15.88,24.04,33.57
60,4.54,8.62,14.51,21.77,30.39
65,4.08,7.71,13.15,19.96,27.67
70,3.63,7.26,11.79,17.69,24.49
75,3.18,6.35,10.43,15.88,22.23
80,2.72,5.44,9.53,14.06,19.5
85,2.72,4.99,8.62,12.7,17.69
90,2.27,4.54,7.71,11.34,15.88
