Age,Beg.,Nov.,Int.,Adv.,Elite
15,6.35,12.7,22.23,34.02,48.08
20,7.26,14.51,25.4,39.01,54.88
25,7.26,14.97,25.85,39.92,56.25
30,7.26,14.97,25.85,39.92,56.25
35,7.26,14.97,25.85,39.92,56.25
40,7.26,14.97,25.85,39.92,56.25
45,6.8,14.06,24.49,38.1,53.52
50,6.35,13.15,23.13,35.83,49.9
55,5.9,12.25,21.32,33.11,46.27
60,5.44,11.34,19.5,29.94,42.18
65,4.99,9.98,17.69,27.22,38.1
70,4.54,9.07,15.88,24.49,34.47
75,4.08,8.16,14.06,21.77,30.84
80,3.63,7.26,12.7,19.5,27.22
85,3.18,6.35,11.34,17.69,24.49
90,2.72,5.9,10.43,15.88,22.23
