Age,Beg.,Nov.,Int.,Adv.,Elite
15,42.64,66.22,96.16,132,171
20,48.99,75.75,110.22,151.05,195.95
25,50.35,77.56,112.94,154.67,200.94
30,50.35,77.56,112.94,154.67,200.94
35,50.35,77.56,112.94,154.67,200.94
40,50.35,77.56,112.94,154.67,200.94
45,47.63,73.94,107.05,146.96,190.51
50,44.45,69.4,100.7,137.89,179.17
55,41.28,63.96,92.99,127.46,165.56
60,37.65,58.51,84.82,116.57,151.05
65,34.02,52.62,76.66,105.23,136.53
70,30.39,47.17,68.95,94.35,122.47
75,27.22,42.18,61.69,84.37,109.32
80,24.49,37.65,54.88,75.3,97.98
85,21.77,34.02,49.44,67.59,88
90,19.96,30.39,44.45,60.78,78.93
