Age,Beg.,Nov.,Int.,Adv.,Elite
15,20.41,35.83,56.25,81.65,110.68
20,23.13,40.82,64.41,93.44,126.55
25,24.04,41.73,66.22,96.16,129.73
30,24.04,41.73,66.22,96.16,129.73
35,24.04,41.73,66.22,96.16,129.73
40,24.04,41.73,66.22,96.16,129.73
45,22.68,39.92,63.05,91.17,122.92
50,21.32,37.19,58.97,85.73,115.67
55,19.5,34.47,54.43,78.93,107.05
60,18.14,31.3,49.9,72.12,97.52
65,16.33,28.58,44.91,65.32,88
70,14.51,25.4,40.37,58.51,78.93
75,13.15,22.68,36.29,52.16,70.76
80,11.79,20.41,32.21,46.72,63.05
85,10.43,18.14,29.03,42.18,56.7
90,9.53,16.33,25.85,37.65,51.26
