Age,Beg.,Nov.,Int.,Adv.,Elite
15,37.65,57.61,83.01,112.94,146.06
20,43.09,65.77,94.8,129.27,167.38
25,44,67.59,97.52,132.9,171.46
30,44,67.59,97.52,132.9,171.46
35,44,67.59,97.52,132.9,171.46
40,44,67.59,97.52,132.9,171.46
45,41.73,63.96,92.53,126.1,162.84
50,39.01,59.87,86.64,118.39,152.86
55,36.29,55.34,80.29,109.32,141.52
60,33.11,50.8,73.03,99.79,128.82
65,29.94,45.81,66.22,90.26,116.57
70,26.76,41.28,59.42,80.74,104.78
75,24.04,36.74,53.07,72.57,93.44
80,21.32,32.66,47.63,64.86,83.46
85,19.05,29.48,42.64,58.06,74.84
90,17.24,26.76,38.56,52.16,67.59
