Age,Beg.,Nov.,Int.,Adv.,Elite
15,4.08,9.07,17.24,28.12,40.37
20,4.54,10.43,19.96,32.21,46.27
25,4.54,10.89,20.41,33.11,47.63
30,4.54,10.89,20.41,33.11,47.63
35,4.54,10.89,20.41,33.11,47.63
40,4.54,10.89,20.41,33.11,47.63
45,4.54,10.43,19.5,31.3,45.36
50,4.08,9.53,18.14,29.48,42.64
55,3.63,9.07,16.78,27.22,39.01
60,3.63,8.16,15.42,24.95,35.83
65,3.18,7.26,14.06,22.23,32.21
70,2.72,6.8,12.25,19.96,29.03
75,2.27,5.9,11.34,18.14,25.85
80,2.27,5.44,9.98,15.88,23.13
85,1.81,4.54,9.07,14.51,20.87
90,1.81,4.08,8.16,13.15,18.6
