Age,Beg.,Nov.,Int.,Adv.,Elite
15,13.15,23.13,37.19,53.98,73.03
20,14.97,26.76,42.18,61.69,83.46
25,15.42,27.22,43.54,63.5,85.73
30,15.42,27.22,43.54,63.5,85.73
35,15.42,27.22,43.54,63.5,85.73
40,15.42,27.22,43.54,63.5,85.73
45,14.51,25.85,41.28,59.87,81.19
50,13.61,24.49,38.56,56.25,76.2
55,12.7,22.68,35.83,52.16,70.76
60,11.79,20.41,32.66,47.63,64.41
65,10.43,18.6,29.48,43.09,58.06
70,9.53,16.78,26.31,38.56,52.16
75,8.62,14.97,23.59,34.47,46.72
80,7.71,13.15,21.32,30.84,41.73
85,6.8,11.79,19.05,27.67,37.65
90,5.9,10.89,17.24,24.95,33.57
