Age,Beg.,Nov.,Int.,Adv.,Elite
15,28.58,48.08,74.39,105.69,141.07
20,32.66,55.34,84.82,121.11,161.48
25,33.57,56.7,87.09,124.28,165.56
30,33.57,56.7,87.09,124.28,165.56
35,33.57,56.7,87.09,124.28,165.56
40,33.57,56.7,87.09,124.28,165.56
45,32.21,53.98,82.55,117.93,156.94
50,29.94,50.35,77.56,110.68,147.42
55,27.67,46.72,71.67,102.06,136.53
60,25.4,42.64,65.32,93.44,124.28
65,22.68,38.56,59.42,84.37,112.49
70,20.41,34.47,53.07,75.75,100.7
75,18.6,30.84,47.63,67.59,90.26
80,16.33,27.67,42.64,60.33,80.74
85,14.51,24.95,38.1,54.43,72.12
90,13.15,22.23,34.47,48.99,65.32
