Age,Beg.,Nov.,Int.,Adv.,Elite
15,13.15,27.67,48.53,75.75,107.5
20,14.97,31.75,55.79,86.64,122.92
25,15.42,32.21,57.15,88.9,126.1
30,15.42,32.21,57.15,88.9,126.1
35,15.42,32.21,57.15,88.9,126.1
40,15.42,32.21,57.15,88.9,126.1
45,14.51,30.84,54.43,84.37,119.29
50,13.61,29.03,50.8,79.38,112.04
55,12.7,26.76,47.17,73.48,103.87
60,11.34,24.49,43.09,67.13,94.8
65,10.43,21.77,39.01,60.33,85.73
70,9.07,19.96,34.93,54.43,76.66
75,8.16,17.69,31.3,48.53,68.49
80,7.26,15.88,27.67,43.54,61.23
85,6.8,14.06,24.95,39.01,54.88
90,5.9,12.7,22.68,34.93,49.44
