Age,Beg.,Nov.,Int.,Adv.,Elite
15,19.5,34.47,54.43,78.93,107.05
20,22.23,39.46,62.14,90.72,122.47
25,22.68,40.37,63.96,92.99,125.65
30,22.68,40.37,63.96,92.99,125.65
35,22.68,40.37,63.96,92.99,125.65
40,22.68,40.37,63.96,92.99,125.65
45,21.77,38.1,60.78,88,119.29
50,20.41,35.83,56.7,82.55,112.04
55,18.6,33.11,52.62,76.66,103.42
60,17.24,30.39,48.08,69.85,94.35
65,15.42,27.22,43.54,63.05,85.28
70,14.06,24.49,39.01,56.7,76.66
75,12.25,21.77,34.93,50.8,68.49
80,11.34,19.5,31.3,45.36,61.23
85,9.98,17.69,28.12,40.37,54.88
90,9.07,15.88,24.95,36.74,49.44
