Age,Beg.,Nov.,Int.,Adv.,Elite
15,20.87,39.46,65.32,97.98,135.17
20,24.04,45.36,74.84,112.04,154.67
25,24.49,46.27,77.11,115.21,158.76
30,24.49,46.27,77.11,115.21,158.76
35,24.49,46.27,77.11,115.21,158.76
40,24.49,46.27,77.11,115.21,158.76
45,23.13,44,73.03,109.32,150.59
50,21.77,41.28,68.49,102.51,141.07
55,19.96,38.1,63.5,94.8,130.63
60,18.6,34.93,58.06,86.64,119.29
65,16.78,31.75,52.16,78.02,107.95
70,14.97,28.12,46.72,70.31,96.62
75,13.15,25.4,41.73,62.6,86.64
80,11.79,22.68,37.65,56.25,77.11
85,10.89,20.41,33.57,50.35,69.4
90,9.53,18.14,30.39,45.36,62.6
